 numangles= 181
  g= 5.59707D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    7.4000D+01       5.6665D-01       8.6647D-01       5.6043D-01       2.0721D-01       7.1656D-01       2.0921D-01
    7.5000D+01       5.4476D-01       8.3788D-01       5.3281D-01       1.9962D-01       6.9132D-01       2.1200D-01
    7.6000D+01       5.2404D-01       8.1057D-01       5.0649D-01       1.9206D-01       6.6731D-01       2.1469D-01
    7.7000D+01       5.0445D-01       7.8450D-01       4.8142D-01       1.8456D-01       6.4447D-01       2.1727D-01
    7.8000D+01       4.8592D-01       7.5960D-01       4.5755D-01       1.7713D-01       6.2276D-01       2.1974D-01
    7.9000D+01       4.6840D-01       7.3584D-01       4.3482D-01       1.6979D-01       6.0212D-01       2.2208D-01
    8.0000D+01       4.5185D-01       7.1317D-01       4.1317D-01       1.6254D-01       5.8251D-01       2.2430D-01
    8.1000D+01       4.3621D-01       6.9152D-01       3.9257D-01       1.5541D-01       5.6387D-01       2.2640D-01
    8.2000D+01       4.2143D-01       6.7087D-01       3.7294D-01       1.4840D-01       5.4615D-01       2.2836D-01
    8.3000D+01       4.0747D-01       6.5116D-01       3.5425D-01       1.4153D-01       5.2932D-01       2.3019D-01
    8.4000D+01       3.9429D-01       6.3234D-01       3.3645D-01       1.3480D-01       5.1332D-01       2.3187D-01
    8.5000D+01       3.8185D-01       6.1438D-01       3.1949D-01       1.2821D-01       4.9811D-01       2.3341D-01
    8.6000D+01       3.7009D-01       5.9722D-01       3.0332D-01       1.2179D-01       4.8365D-01       2.3480D-01
    8.7000D+01       3.5900D-01       5.8082D-01       2.8790D-01       1.1552D-01       4.6991D-01       2.3603D-01
    8.8000D+01       3.4852D-01       5.6515D-01       2.7319D-01       1.0943D-01       4.5683D-01       2.3710D-01
    8.9000D+01       3.3863D-01       5.5015D-01       2.5913D-01       1.0350D-01       4.4439D-01       2.3800D-01
    9.0000D+01       3.2929D-01       5.3580D-01       2.4571D-01       9.7751D-02       4.3255D-01       2.3872D-01
    9.1000D+01       3.2047D-01       5.2206D-01       2.3287D-01       9.2178D-02       4.2126D-01       2.3927D-01
    9.2000D+01       3.1214D-01       5.0888D-01       2.2057D-01       8.6785D-02       4.1051D-01       2.3963D-01
    9.3000D+01       3.0428D-01       4.9624D-01       2.0879D-01       8.1572D-02       4.0026D-01       2.3979D-01
    9.4000D+01       2.9685D-01       4.8410D-01       1.9749D-01       7.6539D-02       3.9047D-01       2.3977D-01
    9.5000D+01       2.8984D-01       4.7243D-01       1.8664D-01       7.1687D-02       3.8113D-01       2.3953D-01
    9.6000D+01       2.8321D-01       4.6119D-01       1.7620D-01       6.7014D-02       3.7220D-01       2.3910D-01
    9.7000D+01       2.7695D-01       4.5037D-01       1.6615D-01       6.2520D-02       3.6366D-01       2.3844D-01
    9.8000D+01       2.7103D-01       4.3993D-01       1.5646D-01       5.8202D-02       3.5548D-01       2.3757D-01
    9.9000D+01       2.6543D-01       4.2985D-01       1.4710D-01       5.4058D-02       3.4764D-01       2.3648D-01
    1.0000D+02       2.6014D-01       4.2011D-01       1.3804D-01       5.0086D-02       3.4012D-01       2.3516D-01
    1.0100D+02       2.5514D-01       4.1067D-01       1.2928D-01       4.6283D-02       3.3290D-01       2.3360D-01
    1.0200D+02       2.5040D-01       4.0153D-01       1.2077D-01       4.2646D-02       3.2596D-01       2.3181D-01
    1.0300D+02       2.4592D-01       3.9266D-01       1.1250D-01       3.9172D-02       3.1929D-01       2.2979D-01
    1.0400D+02       2.4168D-01       3.8404D-01       1.0446D-01       3.5857D-02       3.1286D-01       2.2752D-01
    1.0500D+02       2.3766D-01       3.7565D-01       9.6621D-02       3.2697D-02       3.0665D-01       2.2501D-01
    1.0600D+02       2.3385D-01       3.6749D-01       8.8968D-02       2.9688D-02       3.0067D-01       2.2225D-01
    1.0700D+02       2.3024D-01       3.5954D-01       8.1488D-02       2.6828D-02       2.9489D-01       2.1924D-01
    1.0800D+02       2.2681D-01       3.5178D-01       7.4166D-02       2.4110D-02       2.8930D-01       2.1599D-01
    1.0900D+02       2.2356D-01       3.4421D-01       6.6988D-02       2.1533D-02       2.8389D-01       2.1250D-01
