 numangles= 181
  g= 5.09034D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    1.5800D+02       3.3329D-01       3.7973D-01      -3.5417D-01       8.9709D-03       3.5651D-01       6.5131D-02
    1.5900D+02       3.3596D-01       3.7868D-01      -3.5535D-01       8.2043D-03       3.5732D-01       5.9777D-02
    1.6000D+02       3.3858D-01       3.7769D-01      -3.5649D-01       7.4687D-03       3.5814D-01       5.4604D-02
    1.6100D+02       3.4114D-01       3.7676D-01      -3.5759D-01       6.7648D-03       3.5895D-01       4.9618D-02
    1.6200D+02       3.4363D-01       3.7588D-01      -3.5865D-01       6.0927D-03       3.5976D-01       4.4829D-02
    1.6300D+02       3.4604D-01       3.7506D-01      -3.5965D-01       5.4531D-03       3.6055D-01       4.0241D-02
    1.6400D+02       3.4837D-01       3.7429D-01      -3.6062D-01       4.8463D-03       3.6133D-01       3.5865D-02
    1.6500D+02       3.5061D-01       3.7357D-01      -3.6153D-01       4.2730D-03       3.6209D-01       3.1706D-02
    1.6600D+02       3.5275D-01       3.7290D-01      -3.6239D-01       3.7336D-03       3.6282D-01       2.7772D-02
    1.6700D+02       3.5478D-01       3.7228D-01      -3.6321D-01       3.2285D-03       3.6353D-01       2.4071D-02
    1.6800D+02       3.5670D-01       3.7171D-01      -3.6397D-01       2.7585D-03       3.6420D-01       2.0611D-02
    1.6900D+02       3.5849D-01       3.7119D-01      -3.6467D-01       2.3238D-03       3.6484D-01       1.7398D-02
    1.7000D+02       3.6016D-01       3.7071D-01      -3.6532D-01       1.9250D-03       3.6544D-01       1.4439D-02
    1.7100D+02       3.6169D-01       3.7029D-01      -3.6591D-01       1.5627D-03       3.6599D-01       1.1740D-02
    1.7200D+02       3.6308D-01       3.6991D-01      -3.6645D-01       1.2371D-03       3.6649D-01       9.3082D-03
    1.7300D+02       3.6433D-01       3.6957D-01      -3.6692D-01       9.4886D-04       3.6695D-01       7.1485D-03
    1.7400D+02       3.6541D-01       3.6928D-01      -3.6733D-01       6.9820D-04       3.6735D-01       5.2660D-03
    1.7500D+02       3.6634D-01       3.6904D-01      -3.6768D-01       4.8550D-04       3.6769D-01       3.6653D-03
    1.7600D+02       3.6711D-01       3.6884D-01      -3.6797D-01       3.1106D-04       3.6798D-01       2.3502D-03
    1.7700D+02       3.6771D-01       3.6869D-01      -3.6820D-01       1.7512D-04       3.6820D-01       1.3239D-03
    1.7800D+02       3.6814D-01       3.6858D-01      -3.6836D-01       7.7878D-05       3.6836D-01       5.8902D-04
    1.7900D+02       3.6840D-01       3.6851D-01      -3.6846D-01       1.9477D-05       3.6846D-01       1.4735D-04
    1.8000D+02       3.6849D-01       3.6849D-01      -3.6849D-01      -2.4938D-18       3.6849D-01       7.5323D-17
