 numangles= 181
  g= 5.85366D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    1.1900D+02       2.3696D-01       2.3179D-01       4.5692D-02      -2.1153D-02       2.3437D-01      -1.1049D-02
    1.2000D+02       2.3774D-01       2.2821D-01       4.2037D-02      -2.2138D-02       2.3298D-01      -2.0448D-02
    1.2100D+02       2.3871D-01       2.2476D-01       3.8485D-02      -2.3049D-02       2.3174D-01      -3.0114D-02
    1.2200D+02       2.3988D-01       2.2141D-01       3.5026D-02      -2.3880D-02       2.3064D-01      -4.0030D-02
    1.2300D+02       2.4122D-01       2.1817D-01       3.1648D-02      -2.4622D-02       2.2970D-01      -5.0181D-02
    1.2400D+02       2.4273D-01       2.1502D-01       2.8341D-02      -2.5269D-02       2.2888D-01      -6.0546D-02
    1.2500D+02       2.4441D-01       2.1196D-01       2.5092D-02      -2.5812D-02       2.2818D-01      -7.1106D-02
    1.2600D+02       2.4622D-01       2.0897D-01       2.1888D-02      -2.6241D-02       2.2760D-01      -8.1836D-02
    1.2700D+02       2.4817D-01       2.0606D-01       1.8716D-02      -2.6547D-02       2.2711D-01      -9.2714D-02
    1.2800D+02       2.5023D-01       2.0321D-01       1.5562D-02      -2.6720D-02       2.2672D-01      -1.0371D-01
    1.2900D+02       2.5239D-01       2.0041D-01       1.2411D-02      -2.6748D-02       2.2640D-01      -1.1480D-01
    1.3000D+02       2.5463D-01       1.9766D-01       9.2488D-03      -2.6620D-02       2.2614D-01      -1.2595D-01
    1.3100D+02       2.5692D-01       1.9496D-01       6.0593D-03      -2.6322D-02       2.2594D-01      -1.3713D-01
    1.3200D+02       2.5925D-01       1.9229D-01       2.8269D-03      -2.5843D-02       2.2577D-01      -1.4829D-01
    1.3300D+02       2.6159D-01       1.8965D-01      -4.6499D-04      -2.5169D-02       2.2562D-01      -1.5941D-01
    1.3400D+02       2.6391D-01       1.8705D-01      -3.8331D-03      -2.4286D-02       2.2548D-01      -1.7044D-01
    1.3500D+02       2.6619D-01       1.8447D-01      -7.2949D-03      -2.3181D-02       2.2533D-01      -1.8132D-01
    1.3600D+02       2.6839D-01       1.8192D-01      -1.0868D-02      -2.1841D-02       2.2516D-01      -1.9203D-01
    1.3700D+02       2.7050D-01       1.7940D-01      -1.4572D-02      -2.0253D-02       2.2495D-01      -2.0249D-01
