 numangles= 181
  g= 5.40652D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    9.0000D+01       1.6059D-01       6.7266D-01      -1.2268D-01       1.2981D-01       4.1663D-01       6.1454D-01
    9.1000D+01       1.6024D-01       6.6233D-01      -1.3074D-01       1.2624D-01       4.1128D-01       6.1039D-01
    9.2000D+01       1.6010D-01       6.5232D-01      -1.3851D-01       1.2275D-01       4.0621D-01       6.0586D-01
    9.3000D+01       1.6018D-01       6.4263D-01      -1.4600D-01       1.1936D-01       4.0140D-01       6.0096D-01
    9.4000D+01       1.6045D-01       6.3324D-01      -1.5322D-01       1.1605D-01       3.9685D-01       5.9570D-01
    9.5000D+01       1.6090D-01       6.2415D-01      -1.6018D-01       1.1282D-01       3.9253D-01       5.9008D-01
    9.6000D+01       1.6155D-01       6.1534D-01      -1.6691D-01       1.0968D-01       3.8844D-01       5.8412D-01
    9.7000D+01       1.6236D-01       6.0680D-01      -1.7340D-01       1.0662D-01       3.8458D-01       5.7782D-01
    9.8000D+01       1.6334D-01       5.9851D-01      -1.7968D-01       1.0363D-01       3.8093D-01       5.7120D-01
    9.9000D+01       1.6448D-01       5.9048D-01      -1.8575D-01       1.0071D-01       3.7748D-01       5.6427D-01
    1.0000D+02       1.6577D-01       5.8269D-01      -1.9161D-01       9.7861D-02       3.7423D-01       5.5703D-01
    1.0100D+02       1.6721D-01       5.7514D-01      -1.9728D-01       9.5078D-02       3.7117D-01       5.4951D-01
    1.0200D+02       1.6878D-01       5.6781D-01      -2.0277D-01       9.2358D-02       3.6829D-01       5.4173D-01
    1.0300D+02       1.7048D-01       5.6070D-01      -2.0808D-01       8.9699D-02       3.6559D-01       5.3369D-01
    1.0400D+02       1.7230D-01       5.5380D-01      -2.1321D-01       8.7098D-02       3.6305D-01       5.2541D-01
    1.0500D+02       1.7423D-01       5.4710D-01      -2.1818D-01       8.4555D-02       3.6066D-01       5.1692D-01
    1.0600D+02       1.7626D-01       5.4060D-01      -2.2299D-01       8.2066D-02       3.5843D-01       5.0824D-01
    1.0700D+02       1.7840D-01       5.3429D-01      -2.2764D-01       7.9632D-02       3.5634D-01       4.9937D-01
    1.0800D+02       1.8062D-01       5.2817D-01      -2.3215D-01       7.7253D-02       3.5439D-01       4.9034D-01
    1.0900D+02       1.8293D-01       5.2222D-01      -2.3651D-01       7.4926D-02       3.5258D-01       4.8117D-01
    1.1000D+02       1.8531D-01       5.1646D-01      -2.4073D-01       7.2652D-02       3.5089D-01       4.7187D-01
    1.1100D+02       1.8778D-01       5.1086D-01      -2.4482D-01       7.0430D-02       3.4932D-01       4.6245D-01
    1.1200D+02       1.9031D-01       5.0542D-01      -2.4879D-01       6.8259D-02       3.4786D-01       4.5292D-01
    1.1300D+02       1.9291D-01       5.0014D-01      -2.5263D-01       6.6139D-02       3.4653D-01       4.4331D-01
    1.1400D+02       1.9557D-01       4.9502D-01      -2.5636D-01       6.4068D-02       3.4530D-01       4.3362D-01
    1.1500D+02       1.9829D-01       4.9005D-01      -2.5998D-01       6.2044D-02       3.4417D-01       4.2386D-01
    1.1600D+02       2.0107D-01       4.8523D-01      -2.6349D-01       6.0068D-02       3.4315D-01       4.1404D-01
    1.1700D+02       2.0390D-01       4.8054D-01      -2.6691D-01       5.8137D-02       3.4222D-01       4.0418D-01
    1.1800D+02       2.0679D-01       4.7599D-01      -2.7022D-01       5.6250D-02       3.4139D-01       3.9428D-01
    1.1900D+02       2.0972D-01       4.7158D-01      -2.7344D-01       5.4405D-02       3.4065D-01       3.8436D-01
    1.2000D+02       2.1269D-01       4.6729D-01      -2.7658D-01       5.2602D-02       3.3999D-01       3.7443D-01
    1.2100D+02       2.1570D-01       4.6314D-01      -2.7962D-01       5.0837D-02       3.3942D-01       3.6449D-01
    1.2200D+02       2.1876D-01       4.5910D-01      -2.8258D-01       4.9112D-02       3.3893D-01       3.5456D-01
    1.2300D+02       2.2184D-01       4.5518D-01      -2.8547D-01       4.7423D-02       3.3851D-01       3.4466D-01
    1.2400D+02       2.2496D-01       4.5138D-01      -2.8827D-01       4.5771D-02       3.3817D-01       3.3478D-01
    1.2500D+02       2.2810D-01       4.4769D-01      -2.9100D-01       4.4154D-02       3.3790D-01       3.2495D-01
    1.2600D+02       2.3126D-01       4.4412D-01      -2.9365D-01       4.2572D-02       3.3769D-01       3.1516D-01
    1.2700D+02       2.3445D-01       4.4065D-01      -2.9624D-01       4.1024D-02       3.3755D-01       3.0544D-01
    1.2800D+02       2.3765D-01       4.3728D-01      -2.9875D-01       3.9510D-02       3.3747D-01       2.9578D-01
    1.2900D+02       2.4087D-01       4.3402D-01      -3.0120D-01       3.8029D-02       3.3744D-01       2.8620D-01
    1.3000D+02       2.4409D-01       4.3086D-01      -3.0359D-01       3.6581D-02       3.3748D-01       2.7671D-01
    1.3100D+02       2.4733D-01       4.2779D-01      -3.0591D-01       3.5166D-02       3.3756D-01       2.6730D-01
    1.3200D+02       2.5058D-01       4.2483D-01      -3.0818D-01       3.3783D-02       3.3770D-01       2.5799D-01
    1.3300D+02       2.5383D-01       4.2195D-01      -3.1038D-01       3.2431D-02       3.3789D-01       2.4878D-01
    1.3400D+02       2.5709D-01       4.1917D-01      -3.1254D-01       3.1111D-02       3.3813D-01       2.3968D-01
    1.3500D+02       2.6034D-01       4.1647D-01      -3.1464D-01       2.9821D-02       3.3841D-01       2.3069D-01
    1.3600D+02       2.6360D-01       4.1387D-01      -3.1669D-01       2.8562D-02       3.3873D-01       2.2181D-01
    1.3700D+02       2.6686D-01       4.1135D-01      -3.1868D-01       2.7332D-02       3.3910D-01       2.1305D-01
    1.3800D+02       2.7011D-01       4.0891D-01      -3.2064D-01       2.6131D-02       3.3951D-01       2.0442D-01
    1.3900D+02       2.7335D-01       4.0655D-01      -3.2254D-01       2.4959D-02       3.3995D-01       1.9591D-01
    1.4000D+02       2.7659D-01       4.0428D-01      -3.2440D-01       2.3815D-02       3.4044D-01       1.8754D-01
    1.4100D+02       2.7982D-01       4.0208D-01      -3.2622D-01       2.2699D-02       3.4095D-01       1.7930D-01
    1.4200D+02       2.8304D-01       3.9996D-01      -3.2799D-01       2.1609D-02       3.4150D-01       1.7119D-01
    1.4300D+02       2.8624D-01       3.9792D-01      -3.2972D-01       2.0546D-02       3.4208D-01       1.6323D-01
