 numangles= 181
  g= 6.00007D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    1.0200D+02       2.3733D-01       3.3031D-01       1.2092D-01       2.6652D-02       2.8382D-01       1.6380D-01
    1.0300D+02       2.3407D-01       3.2348D-01       1.1453D-01       2.4430D-02       2.7877D-01       1.6036D-01
    1.0400D+02       2.3113D-01       3.1688D-01       1.0838D-01       2.2265D-02       2.7401D-01       1.5649D-01
    1.0500D+02       2.2848D-01       3.1052D-01       1.0248D-01       2.0159D-02       2.6950D-01       1.5221D-01
    1.0600D+02       2.2612D-01       3.0439D-01       9.6793D-02       1.8115D-02       2.6525D-01       1.4753D-01
    1.0700D+02       2.2402D-01       2.9845D-01       9.1320D-02       1.6134D-02       2.6123D-01       1.4247D-01
    1.0800D+02       2.2216D-01       2.9272D-01       8.6043D-02       1.4221D-02       2.5744D-01       1.3703D-01
    1.0900D+02       2.2053D-01       2.8716D-01       8.0947D-02       1.2380D-02       2.5385D-01       1.3125D-01
    1.1000D+02       2.1911D-01       2.8178D-01       7.6019D-02       1.0613D-02       2.5044D-01       1.2512D-01
    1.1100D+02       2.1787D-01       2.7655D-01       7.1242D-02       8.9256D-03       2.4721D-01       1.1868D-01
    1.1200D+02       2.1681D-01       2.7147D-01       6.6604D-02       7.3224D-03       2.4414D-01       1.1195D-01
    1.1300D+02       2.1589D-01       2.6652D-01       6.2088D-02       5.8078D-03       2.4120D-01       1.0494D-01
    1.1400D+02       2.1511D-01       2.6168D-01       5.7680D-02       4.3864D-03       2.3840D-01       9.7672D-02
    1.1500D+02       2.1445D-01       2.5696D-01       5.3364D-02       3.0627D-03       2.3570D-01       9.0175D-02
    1.1600D+02       2.1388D-01       2.5233D-01       4.9126D-02       1.8412D-03       2.3311D-01       8.2465D-02
    1.1700D+02       2.1340D-01       2.4778D-01       4.4951D-02       7.2591D-04       2.3059D-01       7.4563D-02
    1.1800D+02       2.1297D-01       2.4331D-01       4.0825D-02      -2.7940D-04       2.2814D-01       6.6489D-02
    1.1900D+02       2.1260D-01       2.3890D-01       3.6734D-02      -1.1714D-03       2.2575D-01       5.8262D-02
    1.2000D+02       2.1225D-01       2.3455D-01       3.2663D-02      -1.9472D-03       2.2340D-01       4.9901D-02
    1.2100D+02       2.1193D-01       2.3024D-01       2.8601D-02      -2.6045D-03       2.2109D-01       4.1424D-02
    1.2200D+02       2.1161D-01       2.2598D-01       2.4536D-02      -3.1417D-03       2.1879D-01       3.2850D-02
    1.2300D+02       2.1127D-01       2.2175D-01       2.0454D-02      -3.5580D-03       2.1651D-01       2.4195D-02
    1.2400D+02       2.1092D-01       2.1755D-01       1.6346D-02      -3.8531D-03       2.1424D-01       1.5478D-02
    1.2500D+02       2.1053D-01       2.1338D-01       1.2203D-02      -4.0279D-03       2.1196D-01       6.7171D-03
    1.2600D+02       2.1011D-01       2.0924D-01       8.0153D-03      -4.0838D-03       2.0967D-01      -2.0707D-03
    1.2700D+02       2.0963D-01       2.0512D-01       3.7756D-03      -4.0234D-03       2.0738D-01      -1.0866D-02
    1.2800D+02       2.0910D-01       2.0104D-01      -5.2224D-04      -3.8501D-03       2.0507D-01      -1.9650D-02
    1.2900D+02       2.0850D-01       1.9699D-01      -4.8833D-03      -3.5681D-03       2.0275D-01      -2.8400D-02
    1.3000D+02       2.0784D-01       1.9298D-01      -9.3114D-03      -3.1828D-03       2.0041D-01      -3.7095D-02
    1.3100D+02       2.0711D-01       1.8901D-01      -1.3809D-02      -2.7002D-03       1.9806D-01      -4.5709D-02
    1.3200D+02       2.0631D-01       1.8509D-01      -1.8377D-02      -2.1274D-03       1.9570D-01      -5.4216D-02
    1.3300D+02       2.0544D-01       1.8124D-01      -2.3015D-02      -1.4723D-03       1.9334D-01      -6.2587D-02
    1.3400D+02       2.0450D-01       1.7746D-01      -2.7722D-02      -7.4355D-04       1.9098D-01      -7.0789D-02
    1.3500D+02       2.0350D-01       1.7377D-01      -3.2494D-02       4.9555D-05       1.8863D-01      -7.8787D-02
    1.3600D+02       2.0242D-01       1.7018D-01      -3.7328D-02       8.9698D-04       1.8630D-01      -8.6543D-02
    1.3700D+02       2.0130D-01       1.6670D-01      -4.2217D-02       1.7882D-03       1.8400D-01      -9.4016D-02
    1.3800D+02       2.0011D-01       1.6335D-01      -4.7156D-02       2.7123D-03       1.8173D-01      -1.0116D-01
    1.3900D+02       1.9889D-01       1.6014D-01      -5.2136D-02       3.6578D-03       1.7951D-01      -1.0793D-01
    1.4000D+02       1.9762D-01       1.5708D-01      -5.7149D-02       4.6134D-03       1.7735D-01      -1.1428D-01
    1.4100D+02       1.9632D-01       1.5420D-01      -6.2186D-02       5.5674D-03       1.7526D-01      -1.2016D-01
    1.4200D+02       1.9501D-01       1.5151D-01      -6.7234D-02       6.5083D-03       1.7326D-01      -1.2551D-01
    1.4300D+02       1.9368D-01       1.4903D-01      -7.2284D-02       7.4248D-03       1.7135D-01      -1.3029D-01
    1.4400D+02       1.9235D-01       1.4676D-01      -7.7324D-02       8.3057D-03       1.6955D-01      -1.3444D-01
    1.4500D+02       1.9102D-01       1.4472D-01      -8.2342D-02       9.1405D-03       1.6787D-01      -1.3791D-01
    1.4600D+02       1.8972D-01       1.4292D-01      -8.7325D-02       9.9193D-03       1.6632D-01      -1.4067D-01
    1.4700D+02       1.8843D-01       1.4138D-01      -9.2262D-02       1.0633D-02       1.6491D-01      -1.4268D-01
    1.4800D+02       1.8719D-01       1.4009D-01      -9.7138D-02       1.1272D-02       1.6364D-01      -1.4390D-01
    1.4900D+02       1.8599D-01       1.3908D-01      -1.0194D-01       1.1830D-02       1.6253D-01      -1.4431D-01
    1.5000D+02       1.8484D-01       1.3833D-01      -1.0666D-01       1.2301D-02       1.6159D-01      -1.4390D-01
    1.5100D+02       1.8375D-01       1.3787D-01      -1.1129D-01       1.2678D-02       1.6081D-01      -1.4267D-01
    1.5200D+02       1.8273D-01       1.3767D-01      -1.1581D-01       1.2958D-02       1.6020D-01      -1.4063D-01
    1.5300D+02       1.8178D-01       1.3775D-01      -1.2021D-01       1.3139D-02       1.5977D-01      -1.3780D-01
    1.5400D+02       1.8091D-01       1.3810D-01      -1.2448D-01       1.3217D-02       1.5950D-01      -1.3421D-01
    1.5500D+02       1.8012D-01       1.3870D-01      -1.2862D-01       1.3194D-02       1.5941D-01      -1.2990D-01
    1.5600D+02       1.7941D-01       1.3956D-01      -1.3261D-01       1.3071D-02       1.5948D-01      -1.2494D-01
    1.5700D+02       1.7878D-01       1.4065D-01      -1.3645D-01       1.2850D-02       1.5971D-01      -1.1938D-01
    1.5800D+02       1.7824D-01       1.4196D-01      -1.4013D-01       1.2535D-02       1.6010D-01      -1.1331D-01
    1.5900D+02       1.7779D-01       1.4348D-01      -1.4365D-01       1.2131D-02       1.6063D-01      -1.0680D-01
    1.6000D+02       1.7742D-01       1.4518D-01      -1.4700D-01       1.1645D-02       1.6130D-01      -9.9932D-02
    1.6100D+02       1.7712D-01       1.4704D-01      -1.5018D-01       1.1085D-02       1.6208D-01      -9.2797D-02
    1.6200D+02       1.7690D-01       1.4904D-01      -1.5318D-01       1.0458D-02       1.6297D-01      -8.5483D-02
    1.6300D+02       1.7676D-01       1.5115D-01      -1.5601D-01       9.7737D-03       1.6396D-01      -7.8076D-02
    1.6400D+02       1.7667D-01       1.5335D-01      -1.5867D-01       9.0433D-03       1.6501D-01      -7.0661D-02
    1.6500D+02       1.7665D-01       1.5561D-01      -1.6114D-01       8.2771D-03       1.6613D-01      -6.3319D-02
    1.6600D+02       1.7668D-01       1.5790D-01      -1.6344D-01       7.4867D-03       1.6729D-01      -5.6127D-02
    1.6700D+02       1.7675D-01       1.6019D-01      -1.6556D-01       6.6836D-03       1.6847D-01      -4.9155D-02
    1.6800D+02       1.7686D-01       1.6245D-01      -1.6751D-01       5.8797D-03       1.6966D-01      -4.2469D-02
    1.6900D+02       1.7700D-01       1.6466D-01      -1.6930D-01       5.0870D-03       1.7083D-01      -3.6127D-02
    1.7000D+02       1.7716D-01       1.6678D-01      -1.7091D-01       4.3171D-03       1.7197D-01      -3.0182D-02
    1.7100D+02       1.7733D-01       1.6879D-01      -1.7236D-01       3.5813D-03       1.7306D-01      -2.4680D-02
    1.7200D+02       1.7751D-01       1.7066D-01      -1.7364D-01       2.8904D-03       1.7408D-01      -1.9661D-02
    1.7300D+02       1.7768D-01       1.7237D-01      -1.7477D-01       2.2547D-03       1.7503D-01      -1.5159D-02
    1.7400D+02       1.7785D-01       1.7391D-01      -1.7573D-01       1.6834D-03       1.7588D-01      -1.1203D-02
    1.7500D+02       1.7800D-01       1.7524D-01      -1.7655D-01       1.1851D-03       1.7662D-01      -7.8180D-03
    1.7600D+02       1.7813D-01       1.7635D-01      -1.7721D-01       7.6691D-04       1.7724D-01      -5.0231D-03
    1.7700D+02       1.7824D-01       1.7723D-01      -1.7773D-01       4.3512D-04       1.7773D-01      -2.8340D-03
    1.7800D+02       1.7832D-01       1.7787D-01      -1.7809D-01       1.9458D-04       1.7809D-01      -1.2622D-03
    1.7900D+02       1.7837D-01       1.7825D-01      -1.7831D-01       4.8824D-05       1.7831D-01      -3.1595D-04
    1.8000D+02       1.7838D-01       1.7838D-01      -1.7838D-01       2.9308D-18       1.7838D-01       0.0000D+00
