 numangles= 181
  g= 5.99782D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    1.1300D+02       2.1204D-01       2.6887D-01       4.7221D-02       2.4337D-03       2.4045D-01       1.1817D-01
    1.1400D+02       2.1112D-01       2.6408D-01       4.2571D-02       1.0417D-03       2.3760D-01       1.1146D-01
    1.1500D+02       2.1039D-01       2.5946D-01       3.8065D-02      -2.8993D-04       2.3493D-01       1.0442D-01
    1.1600D+02       2.0985D-01       2.5498D-01       3.3693D-02      -1.5599D-03       2.3241D-01       9.7076D-02
    1.1700D+02       2.0948D-01       2.5063D-01       2.9450D-02      -2.7667D-03       2.3006D-01       8.9436D-02
    1.1800D+02       2.0928D-01       2.4643D-01       2.5327D-02      -3.9081D-03       2.2785D-01       8.1516D-02
    1.1900D+02       2.0923D-01       2.4235D-01       2.1316D-02      -4.9817D-03       2.2579D-01       7.3334D-02
    1.2000D+02       2.0933D-01       2.3839D-01       1.7410D-02      -5.9849D-03       2.2386D-01       6.4907D-02
    1.2100D+02       2.0957D-01       2.3455D-01       1.3600D-02      -6.9143D-03       2.2206D-01       5.6256D-02
    1.2200D+02       2.0993D-01       2.3082D-01       9.8794D-03      -7.7664D-03       2.2038D-01       4.7402D-02
    1.2300D+02       2.1041D-01       2.2720D-01       6.2396D-03      -8.5370D-03       2.1880D-01       3.8368D-02
    1.2400D+02       2.1099D-01       2.2367D-01       2.6726D-03      -9.2217D-03       2.1733D-01       2.9179D-02
    1.2500D+02       2.1166D-01       2.2023D-01      -8.3008D-04      -9.8153D-03       2.1594D-01       1.9862D-02
    1.2600D+02       2.1240D-01       2.1689D-01      -4.2769D-03      -1.0313D-02       2.1464D-01       1.0444D-02
    1.2700D+02       2.1321D-01       2.1362D-01      -7.6768D-03      -1.0708D-02       2.1341D-01       9.5637D-04
    1.2800D+02       2.1407D-01       2.1043D-01      -1.1039D-02      -1.0994D-02       2.1225D-01      -8.5703D-03
    1.2900D+02       2.1496D-01       2.0731D-01      -1.4372D-02      -1.1166D-02       2.1113D-01      -1.8103D-02
    1.3000D+02       2.1586D-01       2.0426D-01      -1.7686D-02      -1.1216D-02       2.1006D-01      -2.7606D-02
    1.3100D+02       2.1676D-01       2.0128D-01      -2.0990D-02      -1.1138D-02       2.0902D-01      -3.7043D-02
    1.3200D+02       2.1764D-01       1.9835D-01      -2.4296D-02      -1.0924D-02       2.0800D-01      -4.6376D-02
    1.3300D+02       2.1848D-01       1.9548D-01      -2.7612D-02      -1.0569D-02       2.0698D-01      -5.5565D-02
    1.3400D+02       2.1927D-01       1.9267D-01      -3.0950D-02      -1.0065D-02       2.0597D-01      -6.4569D-02
    1.3500D+02       2.1997D-01       1.8991D-01      -3.4320D-02      -9.4076D-03       2.0494D-01      -7.3343D-02
    1.3600D+02       2.2059D-01       1.8721D-01      -3.7734D-02      -8.5911D-03       2.0390D-01      -8.1843D-02
    1.3700D+02       2.2109D-01       1.8457D-01      -4.1202D-02      -7.6118D-03       2.0283D-01      -9.0021D-02
    1.3800D+02       2.2145D-01       1.8199D-01      -4.4735D-02      -6.4672D-03       2.0172D-01      -9.7830D-02
    1.3900D+02       2.2168D-01       1.7947D-01      -4.8345D-02      -5.1564D-03       2.0057D-01      -1.0522D-01
    1.4000D+02       2.2174D-01       1.7703D-01      -5.2042D-02      -3.6806D-03       1.9938D-01      -1.1214D-01
